product_title,gender,product_type,color,usage,color_details,heel_height,heel_type,price_usd,brand,product_id,image
Clarks men feeling good leather brown formal shoes,men,formal shoes,brown,formal,[],,,145,clarks,294,294.jpg
Rockport men brown leather casual shoes,men,casual shoes,brown,casual,[],,,175,rockport,295,295.jpg
Ganuchi men casual black casual shoes,men,casual shoes,black,casual,[],,,200,ganuchi,296,296.jpg
Reebok men white acciomax sports shoes,men,sports shoes,white,sports,['blue'],,,170,reebok,297,297.jpg
Vans men maroon vulcanized canvas shoes,men,casual shoes,maroon,casual,[],,,160,vans,298,298.jpg
Timberland men brown casual shoes,men,casual shoes,brown,casual,[],,,115,timberland,299,299.jpg
Numero uno men black shoes,men,casual shoes,black,casual,[],,,150,numero uno,300,300.jpg
Nike men air max conquer acg olive sports boot,men,boots shoes,olive,boots,[],,,110,nike,301,301.jpg
Gas men brown lear shoes,men,casual shoes,brown,casual,[],,,80,gas,302,302.jpg
Red tape men grey casual shoes,men,casual shoes,grey,casual,[],,,145,red tape,303,303.jpg
Numero uno men white casual shoes,men,casual shoes,white,casual,[],,,120,numero uno,304,304.jpg
Fila men fila boston white sports shoes,men,sports shoes,white,sports,['black'],,,195,fila,305,305.jpg
Gas men flint brown shoes,men,casual shoes,brown,casual,[],,,165,gas,306,306.jpg
Playboy men black shoes,men,casual shoes,black,casual,[],,,130,playboy,307,307.jpg
Nike men's dual fusion white shoe,men,sports shoes,white,sports,[],,,145,nike,308,308.jpg
Fila men's mythos white navy shoe,men,sports shoes,white,sports,['black'],,,100,fila,309,309.jpg
Nike men white cricket shoes,men,sports shoes,white,sports,[],,,80,nike,310,310.jpg
Rockport men cv wing black casual shoes,men,casual shoes,black,casual,[],,,160,rockport,311,311.jpg
Puma men's mid spill black shoe,men,casual shoes,black,casual,['white'],,,175,puma,312,312.jpg
Nike men air courtballistic white sports shoes,men,sports shoes,white,sports,[],,,130,nike,313,313.jpg
Gas men aishley greyish purple casual shoes,men,casual shoes,grey,casual,[],,,80,gas,314,314.jpg
Adidas men's ridley white silver shoe,men,sports shoes,white,sports,['silver'],,,185,adidas,315,315.jpg
Timberland men light brown casual shoes,men,casual shoes,brown,casual,[],,,85,timberland,316,316.jpg
Puma men aquil black sports shoes,men,sports shoes,black,sports,['white'],,,115,puma,317,317.jpg
Buckaroo men red casual shoes,men,casual shoes,red,casual,[],,,195,buckaroo,318,318.jpg
Basics men orange casual shoes,men,casual shoes,orange,casual,[],,,55,basics,319,319.jpg
Adidas men grey sports shoes,men,sports shoes,grey,sports,[],,,55,adidas,320,320.jpg
Numero uno men black shoes,men,casual shoes,black,casual,['white'],,,95,numero uno,321,321.jpg
Arrow men formal brown shoe,men,formal shoes,brown,formal,[],,,105,arrow,322,322.jpg
Adidas men white galaxy elite sports shoes,men,sports shoes,white,sports,[],,,180,adidas,323,323.jpg
Rockport men slatkin grey casual shoes,men,casual shoes,grey,casual,[],,,130,rockport,324,324.jpg
Franco leone men brown makhani formal shoes,men,formal shoes,brown,formal,[],,,110,franco leone,325,325.jpg
Reebok men grey ultimate vibe sports shoes,men,sports shoes,grey,sports,['red'],,,140,reebok,326,326.jpg
Fila men zoom black shoes,men,casual shoes,black,casual,['white'],,,60,fila,327,327.jpg
Nike men zoom hyperenforcer white sports shoes,men,sports shoes,white,sports,"['black', 'red']",,,185,nike,328,328.jpg
Numero uno men white shoes,men,casual shoes,white,casual,[],,,190,numero uno,329,329.jpg
Id men blue shoes,men,casual shoes,blue,casual,[],,,165,id,330,330.jpg
Adidas men's morin black shoe,men,sports shoes,black,sports,['white'],,,175,adidas,331,331.jpg
Timberland men brown casual shoes,men,casual shoes,brown,casual,[],,,65,timberland,332,332.jpg
Gas men grey skate 002 shoes,men,sports shoes,grey,sports,['red'],,,170,gas,333,333.jpg
Fila men's phoenix black white shoe,men,sports shoes,black,sports,['white'],,,70,fila,334,334.jpg
Lee cooper men black shoe,men,formal shoes,black,formal,[],,,210,lee cooper,335,335.jpg
Clarks men rocco fuse black leather black casual shoes,men,casual shoes,black,casual,[],,,95,clarks,336,336.jpg
Buckaroo men victor black formal shoes,men,formal shoes,black,formal,[],,,95,buckaroo,337,337.jpg
Adidas men allegra white sports shoes,men,sports shoes,white,sports,['red'],,,50,adidas,338,338.jpg
Gas men europa blue shoes,men,casual shoes,blue,casual,[],,,185,gas,339,339.jpg
Playboy men brown shoes,men,casual shoes,brown,casual,[],,,180,playboy,340,340.jpg
Puma men's tarun white navy silver red shoe,men,sports shoes,white,sports,['silver'],,,205,puma,341,341.jpg
Red tape men's black slip-on formal shoe,men,formal shoes,black,formal,[],,,45,red tape,342,342.jpg
Numero uno men black casual shoes,men,casual shoes,black,casual,[],,,205,numero uno,343,343.jpg
Reebok men's trail mud slinger black blue shoe,men,sports shoes,black,sports,['blue'],,,170,reebok,344,344.jpg
Gas men brown lear shoes,men,casual shoes,brown,casual,[],,,200,gas,345,345.jpg
Red tape men's black casual shoe,men,casual shoes,black,casual,[],,,175,red tape,346,346.jpg
Franco leone men brown shoes,men,formal shoes,brown,formal,[],,,175,franco leone,347,347.jpg
Rockport men d2n desert boot dark brown shoe,men,casual shoes,brown,casual,[],,,65,rockport,348,348.jpg
Adidas men mars white sports shoes,men,sports shoes,white,sports,[],,,70,adidas,349,349.jpg
Timberland men navy blue casual shoes,men,casual shoes,navy blue,casual,[],,,210,timberland,350,350.jpg
Rockport men's tyson black shoe,men,formal shoes,black,formal,[],,,130,rockport,351,351.jpg
Vans men green & grey era shoes,men,casual shoes,green,casual,['grey'],,,180,vans,352,352.jpg
Vans men fontana white shoes,men,casual shoes,white,casual,[],,,145,vans,353,353.jpg
Puma men yacht l red casual shoes,men,casual shoes,red,casual,[],,,170,puma,354,354.jpg
Red tape men brown shoes,men,formal shoes,brown,formal,[],,,145,red tape,355,355.jpg
Buckaroo men loma brown casual shoes,men,casual shoes,brown,casual,[],,,130,buckaroo,356,356.jpg
Fila men coloda grey sports shoes,men,sports shoes,grey,sports,['yellow'],,,155,fila,357,357.jpg
Franco leone men dark brown formal shoes,men,formal shoes,brown,formal,[],,,60,franco leone,358,358.jpg
Nike men lunar flow black casual shoes,men,casual shoes,black,casual,[],,,60,nike,359,359.jpg
Clarks men navy leather sneakers,men,casual shoes,navy blue,casual,[],,,65,clarks,360,360.jpg
Lee cooper men white sports shoes,men,sports shoes,white,casual,['red'],,,45,lee cooper,361,361.jpg
Fila men hitech white sports shoes,men,sports shoes,white,sports,['red'],,,205,fila,362,362.jpg
Carlton london men semi oxfords black casual shoes,men,casual shoes,black,casual,[],,,95,carlton london,363,363.jpg
Lotto men atlantica white sports shoe,men,sports shoes,white,sports,['grey'],,,195,lotto,364,364.jpg
Adidas men blue sports shoes,men,sports shoes,blue,sports,['green'],,,175,adidas,365,365.jpg
Puma men's faas grey shoes,men,sports shoes,grey,sports,['green'],,,140,puma,366,366.jpg
Arrow men black formal shoes,men,formal shoes,black,formal,[],,,190,arrow,367,367.jpg
Fila men glam ii multi coloured shoes,men,casual shoes,black,casual,['multi'],,,175,fila,368,368.jpg
Cobblerz men black formal shoes,men,formal shoes,black,formal,[],,,210,cobblerz,369,369.jpg
Nike men wardour chukka white casual shoes,men,casual shoes,grey,casual,['white'],,,115,nike,370,370.jpg
Numero uno men green casual shoes,men,casual shoes,green,casual,['yellow'],,,135,numero uno,371,371.jpg
Vans men navy blue michoacan shoes,men,casual shoes,navy blue,casual,[],,,210,vans,372,372.jpg
Nike men's lunarswift blue shoe,men,sports shoes,blue,sports,[],,,155,nike,373,373.jpg
Red tape men brown shoes,men,casual shoes,brown,casual,[],,,180,red tape,374,374.jpg
Fila men glam black casual shoes,men,casual shoes,black,casual,[],,,220,fila,375,375.jpg
Reebok men reeflex run white sports shoes,men,sports shoes,white,sports,[],,,155,reebok,376,376.jpg
Reebok men black fuel extreme sports shoes,men,sports shoes,black,sports,['grey'],,,145,reebok,377,377.jpg
Enroute men leather brown formal shoes,men,formal shoes,brown,formal,[],,,80,enroute,378,378.jpg
Red chief men mushroom brown shoes,men,casual shoes,mushroom brown,casual,['brown'],,,165,red chief,379,379.jpg
Nike men dunk high maroon shoes,men,casual shoes,maroon,casual,[],,,180,nike,380,380.jpg
Gas men brown namib shoes,men,casual shoes,brown,casual,[],,,160,gas,381,381.jpg
Fila men stradd white casual shoes,men,casual shoes,white,casual,['red'],,,175,fila,382,382.jpg
Nike men capri ii mid grey casual shoes,men,casual shoes,grey,casual,[],,,85,nike,383,383.jpg
Kalenji kiprun men 1000 whi/ blue 2011,men,sports shoes,white,sports,['blue'],,,185,kalenji kiprun,384,384.jpg
Adidas men brown zapotec shoes,men,sports shoes,brown,sports,[],,,165,adidas,385,385.jpg
Nike men lunarglide+ 3 white sports shoe,men,sports shoes,white,sports,[],,,85,nike,386,386.jpg
Puma men daemon white sports shoes,men,sports shoes,white,sports,['red'],,,170,puma,387,387.jpg
Buckaroo men medina black formal shoes,men,formal shoes,black,formal,[],,,55,buckaroo,388,388.jpg
Adidas men snova glide grey sports shoes,men,sports shoes,grey,sports,[],,,110,adidas,389,389.jpg
Gas men skate blue shoes,men,casual shoes,blue,casual,[],,,105,gas,390,390.jpg
Puma men sl tech lo nm basic black casual shoes,men,casual shoes,black,casual,['red'],,,155,puma,391,391.jpg
Vans men navy blue shoes,men,casual shoes,navy blue,casual,[],,,60,vans,392,392.jpg
Id men white & black shoes,men,casual shoes,white,casual,['black'],,,45,id,393,393.jpg
Fila men cavier white sports shoes,men,sports shoes,white,sports,['black'],,,70,fila,394,394.jpg
Vans men classic slip-on navy blue shoes,men,casual shoes,navy blue,casual,[],,,75,vans,395,395.jpg
Timberland men black casual shoes,men,casual shoes,black,casual,[],,,95,timberland,396,396.jpg
Adidas men's galvin white silver black shoe,men,sports shoes,white,sports,"['black', 'silver']",,,125,adidas,397,397.jpg
Gas men skate green casual shoes,men,casual shoes,green,casual,['black'],,,150,gas,398,398.jpg
Gas men navy blue shoes,men,casual shoes,navy blue,casual,[],,,110,gas,399,399.jpg
Puma men cabana racer sketch white sports shoes,men,sports shoes,white,sports,[],,,130,puma,400,400.jpg
Nike men capri ii mid white casual shoes,men,casual shoes,white,casual,[],,,150,nike,401,401.jpg
Reebok men black ultimate vibe sports shoes,men,sports shoes,black,sports,[],,,75,reebok,402,402.jpg
Enroute men leather brown formal shoes,men,formal shoes,brown,formal,[],,,220,enroute,403,403.jpg
Red chief men black formal shoes,men,formal shoes,black,formal,[],,,175,red chief,404,404.jpg
Nike men free run+ 2 shield grey sports shoes,men,sports shoes,grey,sports,[],,,120,nike,405,405.jpg
Arrow men formal black shoe,men,formal shoes,black,formal,[],,,170,arrow,406,406.jpg
Nike men black shoes,men,casual shoes,black,casual,['blue'],,,110,nike,407,407.jpg
Adidas men white razor sports shoes,men,sports shoes,white,sports,['grey'],,,185,adidas,408,408.jpg
Fila men's breath white red shoe,men,casual shoes,white,casual,['red'],,,205,fila,409,409.jpg
Numero uno men black casual shoes,men,casual shoes,black,casual,[],,,170,numero uno,410,410.jpg
F sports men white hurricane sports shoes,men,sports shoes,white,sports,[],,,145,f sports,411,411.jpg
Arrow men brown formal shoes,men,formal shoes,brown,formal,[],,,210,arrow,412,412.jpg
Puma men's yugorun white red shoe,men,sports shoes,white,sports,['red'],,,50,puma,413,413.jpg
Adidas men lowell white sports shoe,men,sports shoes,white,sports,[],,,130,adidas,414,414.jpg
Carlton london men brown shoes,men,casual shoes,brown,casual,[],,,140,carlton london,415,415.jpg
Adidas men sports black sports shoes,men,sports shoes,black,sports,['yellow'],,,185,adidas,416,416.jpg
Lotto men xd iii black shoes,men,casual shoes,black,casual,[],,,110,lotto,417,417.jpg
Red tape men black casual shoes,men,casual shoes,black,casual,[],,,125,red tape,418,418.jpg
Adidas men orange sports shoes,men,sports shoes,orange,sports,[],,,75,adidas,419,419.jpg
Converse men's all star canvas ox navy blue shoe,men,casual shoes,blue,casual,[],,,45,converse,420,420.jpg
Fila men surveillance white shoes,men,sports shoes,white,sports,[],,,170,fila,421,421.jpg
Globalite men black skid shoes,men,casual shoes,black,casual,['red'],,,55,globalite,422,422.jpg
Nike men zoom vomero white sports shoes,men,sports shoes,white,sports,['blue'],,,80,nike,423,423.jpg
Provogue men mushroom brown casual shoes,men,casual shoes,mushroom brown,casual,['brown'],,,75,provogue,424,424.jpg
Lee cooper men white shoes,men,casual shoes,white,casual,['grey'],,,150,lee cooper,425,425.jpg
Puma men drift cat brown shoes,men,casual shoes,brown,casual,[],,,165,puma,426,426.jpg
Flying machine men casual grey casual shoes,men,casual shoes,grey,casual,['black'],,,215,flying machine,427,427.jpg
Nike men's air max lte white blue shoe,men,sports shoes,white,sports,"['blue', 'grey']",,,215,nike,428,428.jpg
Id men black shoes,men,casual shoes,black,casual,['white'],,,160,id,429,429.jpg
Adidas men white phaedra sports shoes,men,sports shoes,white,sports,[],,,85,adidas,430,430.jpg
Numero uno men's beige brown casual shoe,men,casual shoes,brown,casual,['beige'],,,165,numero uno,431,431.jpg
Nike men jordan fly wade red sports shoes,men,sports shoes,red,sports,['black'],,,120,nike,432,432.jpg
Red tape men brown formal shoes,men,formal shoes,brown,formal,[],,,180,red tape,433,433.jpg
Adidas men's white silver running shoe,men,sports shoes,white,sports,['silver'],,,210,adidas,434,434.jpg
Nike men free run blue sports shoes,men,sports shoes,blue,sports,[],,,50,nike,435,435.jpg
Adidas men ranger white sports shoes,men,sports shoes,white,sports,[],,,50,adidas,436,436.jpg
Skechers men's regions off white shoe,men,casual shoes,white,casual,['off white'],,,160,skechers,437,437.jpg
Lotto men white torcida shoes,men,sports shoes,white,casual,['black'],,,155,lotto,438,438.jpg
F sports men white velocity sports shoes,men,sports shoes,white,sports,[],,,120,f sports,439,439.jpg
Lee cooper men's formal simpleton black shoe,men,formal shoes,black,formal,[],,,135,lee cooper,440,440.jpg
Provogue men black formal shoes,men,formal shoes,black,formal,[],,,215,provogue,441,441.jpg
Puma men faas 300 blue sports shoes,men,sports shoes,blue,sports,['red'],,,200,puma,442,442.jpg
Vans men era black shoes,men,casual shoes,black,casual,[],,,65,vans,443,443.jpg
Nike men's lunareclipse white shoe,men,sports shoes,white,sports,[],,,90,nike,444,444.jpg
Fila men streak grey sports shoes,men,sports shoes,grey,sports,[],,,190,fila,445,445.jpg
Skechers men blue shoes,men,casual shoes,blue,casual,['white'],,,45,skechers,446,446.jpg
Puma men driving power lo sf black sports shoes,men,sports shoes,black,sports,[],,,75,puma,447,447.jpg
F sports men black shoes,men,casual shoes,black,casual,[],,,125,f sports,448,448.jpg
United colors of benetton men brown shoes,men,casual shoes,brown,casual,[],,,120,united colors of benetton,449,449.jpg
Franco leone men formal black formal shoes,men,formal shoes,black,formal,[],,,185,franco leone,450,450.jpg
Skechers men's casual brown lifestyle shoe,men,casual shoes,brown,casual,[],,,160,skechers,451,451.jpg
Adidas neo men court sequence mid brown shoes,men,casual shoes,brown,casual,[],,,145,adidas neo,452,452.jpg
Nike men court white shoe,men,sports shoes,white,sports,[],,,180,nike,453,453.jpg
Nike men lunarfly black sports shoes,men,sports shoes,black,sports,['green'],,,195,nike,454,454.jpg
Adidas men black twenty2yds sports shoes,men,sports shoes,white,sports,['black'],,,140,adidas,455,455.jpg
Converse men lace color black casual shoes,men,casual shoes,black,casual,[],,,65,converse,456,456.jpg
Nike men's incinera grey shoe,men,sports shoes,grey,sports,['yellow'],,,220,nike,457,457.jpg
Puma men grey vintage ferrari shoes,men,casual shoes,grey,casual,[],,,150,puma,458,458.jpg
Lotto men white & silver sports shoes,men,sports shoes,white,sports,['silver'],,,205,lotto,459,459.jpg
Skechers men's zeta black lifestyle casual shoe,men,casual shoes,black,casual,[],,,140,skechers,460,460.jpg
Nike men court majestic white casual shoes,men,casual shoes,white,casual,[],,,220,nike,461,461.jpg
Adidas men aerostar white sports shoes,men,sports shoes,white,sports,['blue'],,,85,adidas,462,462.jpg
Skechers men genesis brown shoe,men,casual shoes,brown,casual,[],,,200,skechers,463,463.jpg
Gas men brown casual shoes,men,casual shoes,brown,casual,[],,,170,gas,464,464.jpg
Reebok men premier ultra 8 u-form silver sports shoes,men,sports shoes,silver,sports,['yellow'],,,125,reebok,465,465.jpg
Flying machine men casual green casual shoes,men,casual shoes,green,casual,['white'],,,155,flying machine,466,466.jpg
Puma men's first round takeahike black yellow shoe,men,casual shoes,black,casual,['yellow'],,,120,puma,467,467.jpg
Numero uno men navy leather shoes,men,casual shoes,navy blue,casual,[],,,55,numero uno,468,468.jpg
Id men black & purple shoes,men,casual shoes,black,casual,['purple'],,,185,id,469,469.jpg
Red tape men's formal lace black shoe,men,formal shoes,black,formal,[],,,70,red tape,470,470.jpg
Lee cooper men white shoes,men,casual shoes,white,casual,"['green', 'grey']",,,180,lee cooper,471,471.jpg
Flying machine men grey casual shoes,men,casual shoes,grey,casual,[],,,140,flying machine,472,472.jpg
Carlton london men casual beige casual shoes,men,casual shoes,beige,casual,[],,,70,carlton london,473,473.jpg
Vans men classic slip-on grey shoes,men,casual shoes,grey,casual,[],,,115,vans,474,474.jpg
Lotto men grey dolce vita shoes,men,casual shoes,grey,casual,['green'],,,150,lotto,475,475.jpg
Woodland men brown shoes,men,casual shoes,brown,casual,[],,,220,woodland,476,476.jpg
Lotto men dolce vita ii grey sports shoes,men,sports shoes,grey,sports,['blue'],,,145,lotto,477,477.jpg
Converse men's chuck taylor big check red black canvas shoe,men,casual shoes,red,casual,['black'],,,115,converse,478,478.jpg
Fila men superior silver sports shoes,men,sports shoes,silver,sports,['red'],,,175,fila,479,479.jpg
Asics men's gel cushioning running white black yellow shoe,men,sports shoes,white,sports,"['yellow', 'black']",,,155,asics,480,480.jpg
Nike men t90 shoot iv hg-b blue sports shoes,men,sports shoes,blue,sports,['grey'],,,65,nike,481,481.jpg
Lotto men's calcetto brown shoe,men,casual shoes,brown,casual,[],,,85,lotto,482,482.jpg
Nike men  court majestic white casual shoe,men,casual shoes,white,casual,['blue'],,,145,nike,483,483.jpg
Nike men dual fusion black tr ii sports shoes,men,sports shoes,black,sports,['blue'],,,190,nike,484,484.jpg
Red tape men navy blue shoes,men,casual shoes,navy blue,casual,[],,,130,red tape,485,485.jpg
Timberland men earthkeeper burnsh medium brown shoe,men,boots shoes,brown,boots,[],,,165,timberland,486,486.jpg
Woodland men khaki shoes,men,casual shoes,khaki,casual,[],,,190,woodland,487,487.jpg
Nike men's air dictate white shoe,men,sports shoes,white,sports,['black'],,,130,nike,488,488.jpg
Skechers men black shoes,men,casual shoes,black,casual,[],,,180,skechers,489,489.jpg
Buckaroo men valle black casual shoes,men,casual shoes,black,casual,[],,,155,buckaroo,490,490.jpg
Nike men dual fusion tr ii navy blue sports shoes,men,sports shoes,navy blue,sports,[],,,135,nike,491,491.jpg
Converse men's as canvas ox navy blue shoe,men,casual shoes,navy blue,casual,[],,,145,converse,492,492.jpg
Globalite men white dribble shoes,men,casual shoes,white,casual,"['red', 'black']",,,200,globalite,493,493.jpg
Adidas men court switch sports shoes,men,sports shoes,white,sports,[],,,90,adidas,494,494.jpg
Provogue men black casual shoes,men,casual shoes,black,casual,[],,,195,provogue,495,495.jpg
Reebok men's zigfuel white shoe,men,sports shoes,white,sports,['blue'],,,175,reebok,496,496.jpg
Nike men the overplay vi black shoes,men,sports shoes,black,casual,[],,,75,nike,497,497.jpg
Nike men lunarglide + shield grey sports shoes,men,sports shoes,grey,sports,[],,,165,nike,498,498.jpg
Lotto men's calcetto white red shoe,men,casual shoes,white,casual,['red'],,,55,lotto,499,499.jpg
Nike men zoom vapor 8 white red shoe,men,sports shoes,white,sports,['red'],,,135,nike,500,500.jpg
Nike men's air pegasus 27 white grey shoe,men,sports shoes,white,sports,['grey'],,,130,nike,501,501.jpg
Adidas men dash casual shoes,men,casual shoes,black,casual,['yellow'],,,80,adidas,502,502.jpg
Lee cooper men tan shoes,men,casual shoes,tan,casual,[],,,80,lee cooper,503,503.jpg
F sports men black charger shoes,men,casual shoes,black,casual,[],,,110,f sports,504,504.jpg
United colors of benetton men black shoes,men,casual shoes,black,casual,['white'],,,160,united colors of benetton,505,505.jpg
Puma men evo ducati lo black casual shoes,men,casual shoes,black,casual,['red'],,,190,puma,506,506.jpg
Skechers men black lifestyle casual shoes,men,casual shoes,black,casual,['grey'],,,170,skechers,507,507.jpg
Nike men lunarswift +3 grey sports shoes,men,sports shoes,grey,sports,['blue'],,,160,nike,508,508.jpg
Red tape men's formal light brown shoe,men,formal shoes,brown,formal,[],,,80,red tape,509,509.jpg
Asics men gel 1160 running white sports shoes,men,sports shoes,white,sports,['grey'],,,130,asics,510,510.jpg
Puma men white aquil sports shoes,men,sports shoes,white,sports,['blue'],,,185,puma,511,511.jpg
Globalite men white terra shoes,men,casual shoes,white,casual,['blue'],,,95,globalite,512,512.jpg
Reebok men's winning stride white shoe,men,sports shoes,white,sports,['blue'],,,110,reebok,513,513.jpg
Red chief men black formal shoes,men,formal shoes,black,formal,[],,,95,red chief,514,514.jpg
Provogue men brown formal shoes,men,formal shoes,brown,formal,[],,,220,provogue,515,515.jpg
Puma men faas 300 black sports shoes,men,sports shoes,black,sports,['orange'],,,90,puma,516,516.jpg
Puma men whirlwind classic green casual shoes,men,casual shoes,green,casual,['yellow'],,,160,puma,517,517.jpg
Adidas men duramo 3 m white sports shoes,men,sports shoes,white,sports,[],,,145,adidas,518,518.jpg
Skechers men usa brown shoe,men,casual shoes,brown,casual,[],,,120,skechers,519,519.jpg
Nike men's air impetus shoe,men,sports shoes,black,sports,['white'],,,80,nike,520,520.jpg
F sports men white velocity sports shoes,men,sports shoes,white,sports,[],,,140,f sports,521,521.jpg
Nike men ballista white sports shoes,men,sports shoes,white,sports,[],,,130,nike,522,522.jpg
Adidas men black pural desman shoes,men,casual shoes,black,casual,[],,,190,adidas,523,523.jpg
Decathlon men black f300 sports shoes,men,sports shoes,black,sports,[],,,140,decathlon,524,524.jpg
Franco leone men black formal shoes,men,formal shoes,black,formal,[],,,165,franco leone,525,525.jpg
Vans men bedford charcoal shoes,men,casual shoes,charcoal,casual,[],,,175,vans,526,526.jpg
Fila men torando black sports shoes,men,sports shoes,black,sports,[],,,180,fila,527,527.jpg
Puma men future cat black shoes,men,casual shoes,black,casual,['red'],,,215,puma,528,528.jpg
Nike men's dual fusion grey shoe,men,sports shoes,grey,sports,['yellow'],,,220,nike,529,529.jpg
Nike men air pegasus grey sports shoes,men,sports shoes,grey,sports,['black'],,,95,nike,530,530.jpg
Adidas men slimsoll white sports shoes,men,sports shoes,white,sports,['green'],,,150,adidas,531,531.jpg
Flying machine men brown shoes,men,casual shoes,brown,casual,[],,,165,flying machine,532,532.jpg
Nike men's zoom vomero 5 grey blue shoe,men,sports shoes,grey,sports,['blue'],,,100,nike,533,533.jpg
Provogue men black formal shoes,men,formal shoes,black,formal,[],,,65,provogue,534,534.jpg
Adidas men running white sports shoes,men,sports shoes,white,sports,['blue'],,,160,adidas,535,535.jpg
Nike men dart 9 leather white sports shoes,men,sports shoes,white,sports,[],,,85,nike,536,536.jpg
Reebok men navy blue turbo dmx shear sports shoes,men,sports shoes,navy blue,sports,['white'],,,150,reebok,537,537.jpg
Nike men nike air max limitless black sports shoes,men,sports shoes,black,sports,['yellow'],,,185,nike,538,538.jpg
Puma men 65cc ducati red sports shoes,men,sports shoes,red,sports,['white'],,,110,puma,539,539.jpg
Enroute men formal black formal shoe,men,formal shoes,black,formal,[],,,215,enroute,540,540.jpg
Flying machine men charcoal shoes,men,casual shoes,charcoal,casual,[],,,195,flying machine,541,541.jpg
Nike men's downshifter lea black shoe,men,sports shoes,black,sports,[],,,170,nike,542,542.jpg
Globalite men olive sparta shoes,men,casual shoes,olive,casual,[],,,125,globalite,543,543.jpg
Puma men tx-3 green casual shoes,men,casual shoes,green,casual,['yellow'],,,215,puma,544,544.jpg
Force 10 men beige sports shoes,men,sports shoes,beige,sports,[],,,220,force 10,545,545.jpg
Skechers men's brown lifestyle shoe,men,casual shoes,brown,casual,[],,,185,skechers,546,546.jpg
Red tape men grey shoes,men,casual shoes,grey,casual,[],,,95,red tape,547,547.jpg
F sports men white vito shoes,men,casual shoes,white,casual,[],,,65,f sports,548,548.jpg
United colors of benetton men brown shoes,men,casual shoes,brown,casual,[],,,165,united colors of benetton,549,549.jpg
Nike men's egoli white black shoe,men,sports shoes,white,sports,['black'],,,120,nike,550,550.jpg
Adidas men adi quest blue sports shoes,men,sports shoes,blue,sports,['white'],,,140,adidas,551,551.jpg
Asics men's gel phoenix 3 running white black shoe,men,sports shoes,white,sports,['black'],,,155,asics,552,552.jpg
Nike men ballista ii white sports shoes,men,sports shoes,white,sports,[],,,60,nike,553,553.jpg
Lotto men's calcetto grey shoe,men,casual shoes,grey,casual,[],,,65,lotto,554,554.jpg
Lotto men white skateboard shoes,men,casual shoes,white,casual,['black'],,,210,lotto,555,555.jpg
Force 10 men white sports shoes,men,sports shoes,white,sports,['grey'],,,200,force 10,556,556.jpg
Nike men dart vii white sports shoes,men,sports shoes,white,sports,[],,,210,nike,557,557.jpg
Puma men drift cat white shoes,men,casual shoes,white,casual,['blue'],,,45,puma,558,558.jpg
Franco leone men formal brown formal shoes,men,formal shoes,brown,formal,[],,,175,franco leone,559,559.jpg
Adidas men silver astar ride 3m sports shoe,men,sports shoes,silver,sports,['blue'],,,115,adidas,560,560.jpg
Vans men classic slip-on black shoes,men,casual shoes,black,casual,['purple'],,,190,vans,561,561.jpg
Redtape men brown formal shoes,men,formal shoes,brown,formal,['red'],,,195,redtape,562,562.jpg
Decathlon men quechua grey sports shoes,men,sports shoes,grey,sports,[],,,150,decathlon,563,563.jpg
Reebok men raceon white sports shoes,men,sports shoes,white,sports,['grey'],,,75,reebok,564,564.jpg
Nike men avid black casual shoes,men,casual shoes,black,casual,[],,,180,nike,565,565.jpg
Flying machine men casual green casual shoes,men,casual shoes,green,casual,['white'],,,145,flying machine,566,566.jpg
Puma men's manilla hi white shoe,men,casual shoes,white,casual,['green'],,,45,puma,567,567.jpg
Puma men evo black casual shoes,men,casual shoes,black,casual,['blue'],,,120,puma,568,568.jpg
Nike men air visi sleek shoes,men,sports shoes,silver,sports,['grey'],,,85,nike,569,569.jpg
Nike men's mercurial gli red pink shoe,men,sports shoes,pink,sports,['red'],,,70,nike,570,570.jpg
Puma men future cat m1 engine red sports shoes,men,sports shoes,red,sports,[],,,65,puma,571,571.jpg
Skechers men usa black shoe,men,casual shoes,black,casual,[],,,165,skechers,572,572.jpg
Adidas men adi fiero m white sports shoes,men,sports shoes,white,sports,['orange'],,,150,adidas,573,573.jpg
Skechers men's liquid roggers brown shoe,men,casual shoes,brown,casual,[],,,65,skechers,574,574.jpg
Provogue men's formal black shoe,men,formal shoes,black,formal,[],,,125,provogue,575,575.jpg
Asics men gel ds sky speed 2 running blue sports shoes,men,sports shoes,blue,sports,[],,,55,asics,576,576.jpg
Provogue men formal black formal shoes,men,formal shoes,black,formal,[],,,165,provogue,577,577.jpg
Playboy men orange casual shoes,men,casual shoes,orange,casual,[],,,110,playboy,578,578.jpg
Red tape black men's semi casual shoe,men,casual shoes,black,casual,[],,,60,red tape,579,579.jpg
Puma men's basket biz white & blue shoe,men,sports shoes,white,sports,['blue'],,,125,puma,580,580.jpg
Woodland men brown shoes,men,casual shoes,brown,casual,[],,,170,woodland,581,581.jpg
Puma men white 3.0 mid shoes,men,casual shoes,white,casual,['black'],,,120,puma,582,582.jpg
Red chief men black formal shoes,men,formal shoes,black,formal,[],,,75,red chief,583,583.jpg
Fila men sports white shoes,men,sports shoes,white,sports,[],,,140,fila,584,584.jpg
Fila men fila boston white sports shoes,men,sports shoes,white,sports,[],,,170,fila,585,585.jpg
United colors of benetton men latnam black casual shoes,men,casual shoes,black,casual,['green'],,,190,united colors of benetton,586,586.jpg
